Date,Open,High,Low,Close,Adj Close,Volume
2015-05-15,97.830002,98.440002,97.750000,98.220001,84.769653,3809500
2015-05-18,98.010002,98.330002,97.669998,98.050003,84.622917,3328300
2015-05-19,97.940002,98.339996,97.570000,97.949997,84.536591,3323900
2015-05-20,98.000000,98.330002,97.680000,97.690002,84.312210,2789800
2015-05-21,97.400002,97.790001,96.900002,97.199997,83.889313,3406100
2015-05-22,97.209999,97.209999,96.230003,96.260002,83.078033,3311100
2015-05-26,96.059998,96.279999,95.500000,95.790001,82.672409,3806200
2015-05-27,95.989998,96.580002,95.709999,96.379997,83.181618,4028200
2015-05-28,96.550003,97.389999,95.930000,97.059998,83.768486,5321700
2015-05-29,97.209999,97.239998,95.940002,96.430000,83.224747,5731700
2015-06-01,96.589996,96.589996,95.639999,95.970001,82.827744,4407000
2015-06-02,95.629997,96.349998,95.370003,96.050003,82.896782,3959800
2015-06-03,95.820000,96.000000,95.150002,95.300003,82.855911,3248800
2015-06-04,95.010002,95.620003,94.120003,94.139999,81.847397,4793700
2015-06-05,93.870003,93.980003,92.900002,93.050003,80.899742,4741200
2015-06-08,93.300003,93.410004,92.739998,92.839996,80.717140,4466600
2015-06-09,92.800003,93.320000,92.720001,93.070000,80.917130,3411900
2015-06-10,93.370003,94.080002,93.129997,93.690002,81.456154,3892000
2015-06-11,94.000000,94.290001,93.889999,94.089996,81.803932,3020100
2015-06-12,93.959999,94.070000,93.440002,93.739998,81.499641,3748500
2015-06-15,93.269997,93.419998,92.540001,92.639999,80.543274,7203000
2015-06-16,92.769997,93.709999,92.580002,93.550003,81.334427,2728700
2015-06-17,93.570000,94.269997,93.250000,94.050003,81.769150,3108900
2015-06-18,94.330002,95.519997,94.120003,95.230003,82.795082,4035400
2015-06-19,94.879997,95.309998,94.720001,94.860001,82.473373,5463300
2015-06-22,95.000000,95.879997,95.000000,95.599998,83.116760,3626700
2015-06-23,95.610001,95.739998,95.139999,95.599998,83.116760,3679900
2015-06-24,95.260002,95.769997,95.260002,95.290001,82.847229,4742000
2015-06-25,95.750000,95.989998,94.830002,94.830002,82.447304,4426400
2015-06-26,95.099998,95.449997,94.830002,94.910004,82.516838,5119600
2015-06-29,94.400002,94.760002,93.620003,93.690002,81.456154,3625600
2015-06-30,94.510002,94.699997,93.260002,93.339996,81.151871,4188500
2015-07-01,93.800003,94.570000,93.550003,94.519997,82.177780,4808600
2015-07-02,94.599998,94.980003,94.209999,94.660004,82.299492,3209600
2015-07-06,94.040001,94.919998,94.010002,94.400002,82.073448,4952400
2015-07-07,94.779999,96.660004,94.540001,96.400002,83.812286,7724800
2015-07-08,95.709999,96.279999,95.510002,95.610001,83.125450,6055100
2015-07-09,97.339996,97.349998,94.080002,94.589996,82.238632,9932300
2015-07-10,95.419998,96.269997,95.010002,95.550003,83.073265,7233600
2015-07-13,96.300003,97.489998,96.160004,97.220001,84.525223,7263800
2015-07-14,97.400002,97.480003,96.730003,97.129997,84.446960,4479400
2015-07-15,97.070000,97.339996,96.320000,96.349998,83.768829,5464700
2015-07-16,97.089996,97.339996,96.870003,96.900002,84.247009,4253000
2015-07-17,96.540001,96.820000,96.050003,96.779999,84.142670,3573300
2015-07-20,97.080002,97.480003,96.800003,97.309998,84.603462,3391800
2015-07-21,97.480003,97.480003,96.839996,96.930000,84.273087,3065400
2015-07-22,97.019997,97.480003,96.800003,97.169998,84.481728,3371300
2015-07-23,97.000000,97.370003,96.459999,96.870003,84.220924,2742900
2015-07-24,96.669998,96.889999,96.089996,96.180000,83.621010,3631700
2015-07-27,96.029999,96.419998,95.330002,95.660004,83.168907,4783400
2015-07-28,96.230003,96.230003,95.639999,96.110001,83.560150,4937100
2015-07-29,96.180000,96.769997,96.050003,96.529999,83.925323,3851100
2015-07-30,96.180000,96.879997,96.150002,96.629997,84.012253,3380700
2015-07-31,97.169998,97.169998,96.199997,96.349998,83.768829,5049600
2015-08-03,96.190002,97.480003,96.169998,97.449997,84.725174,3711100
2015-08-04,97.300003,98.000000,97.180000,97.809998,85.038185,3955000
2015-08-05,98.019997,99.349998,97.889999,99.190002,86.237984,4320400
2015-08-06,99.660004,100.610001,99.099998,99.150002,86.203217,6224000
2015-08-07,99.010002,99.449997,98.720001,99.099998,86.159752,4608300
2015-08-10,99.519997,99.699997,98.889999,99.089996,86.151024,4753700
2015-08-11,98.599998,98.750000,98.150002,98.620003,85.742409,3581300
2015-08-12,98.040001,98.430000,97.000000,98.379997,85.533737,3743300
2015-08-13,98.400002,99.230003,98.029999,98.790001,85.890213,4190600
2015-08-14,98.830002,99.269997,98.699997,99.230003,86.272758,3375600
2015-08-17,98.820000,100.089996,98.750000,99.860001,86.820488,3253100
2015-08-18,99.500000,100.419998,99.500000,99.769997,86.742233,4578500
2015-08-19,99.379997,99.680000,98.639999,98.989998,86.064102,3903500
2015-08-20,98.309998,98.599998,97.980003,97.980003,85.185974,3956800
2015-08-21,97.199997,97.599998,96.099998,96.250000,83.681877,7514400
2015-08-24,91.580002,92.330002,76.480003,91.830002,79.839043,13366900
2015-08-25,94.139999,94.139999,89.550003,89.639999,77.934990,8258100
2015-08-26,91.720001,92.629997,89.690002,92.489998,80.412842,7614100
2015-08-27,93.500000,93.989998,91.860001,93.599998,81.377899,6690000
2015-08-28,93.000000,93.839996,92.779999,93.529999,81.317055,6002300
2015-08-31,92.940002,93.330002,92.639999,92.930000,80.795403,5328000
2015-09-01,91.120003,92.160004,90.879997,91.330002,79.404327,8367800
2015-09-02,91.379997,92.160004,90.870003,91.639999,80.291870,5935400
2015-09-03,92.000000,92.750000,91.879997,92.129997,80.721191,3774100
2015-09-04,91.000000,91.540001,90.639999,90.919998,79.661041,5653600
2015-09-08,91.930000,92.400002,91.580002,92.370003,80.931496,3638200
2015-09-09,93.040001,93.080002,90.500000,90.830002,79.582176,4474400
2015-09-10,90.500000,91.699997,90.430000,91.059998,79.783699,3928100
2015-09-11,90.919998,91.639999,90.690002,91.620003,80.274345,4062600
2015-09-14,91.620003,91.639999,90.989998,91.199997,79.906364,4383600
2015-09-15,91.669998,92.339996,91.150002,92.059998,80.659859,3725100
2015-09-16,92.349998,93.320000,92.150002,93.070000,81.544807,4152000
2015-09-17,93.309998,94.370003,92.610001,93.370003,81.807648,5300800
2015-09-18,92.190002,93.629997,91.790001,93.050003,81.527283,9622400
2015-09-21,93.320000,94.269997,93.230003,93.709999,82.105522,3654000
2015-09-22,92.989998,93.080002,91.949997,92.370003,80.931496,4547900
2015-09-23,92.269997,92.699997,91.860001,92.400002,80.957764,3401600
2015-09-24,91.889999,92.860001,91.449997,92.470001,81.019096,4064000
2015-09-25,92.940002,94.180000,92.669998,93.470001,81.895264,4897200
2015-09-28,92.970001,93.650002,92.199997,92.470001,81.019096,4659200
2015-09-29,92.550003,93.360001,92.309998,93.040001,81.518501,5632200
2015-09-30,94.059998,94.400002,93.529999,94.300003,82.622467,5873600
2015-10-01,94.199997,94.500000,93.129997,93.849998,82.228203,5061800
2015-10-02,93.169998,94.220001,92.529999,94.160004,82.499817,5163700
