Date,Open,High,Low,Close,Adj Close,Volume
2015-05-15,76.320000,76.419998,75.989998,76.419998,68.612541,4528400
2015-05-18,76.610001,77.760002,76.580002,77.470001,69.555252,5406500
2015-05-19,77.849998,78.699997,77.709999,78.440002,70.426140,6593600
2015-05-20,78.440002,79.080002,78.370003,78.790001,70.740395,6868700
2015-05-21,78.680000,78.699997,78.290001,78.410004,70.399216,3537600
2015-05-22,78.269997,78.690002,77.800003,77.820000,69.869499,2965700
2015-05-26,77.389999,77.430000,76.360001,76.570000,68.747192,4505100
2015-05-27,77.430000,77.440002,76.470001,77.320000,69.420593,3734900
2015-05-28,77.279999,77.839996,76.940002,77.209999,69.321808,4065900
2015-05-29,77.129997,77.379997,76.320000,76.320000,68.522766,7214400
2015-06-01,77.070000,77.660004,76.320000,76.699997,68.863922,6532400
2015-06-02,76.480003,77.440002,76.010002,76.879997,69.025528,7768800
2015-06-03,77.059998,77.279999,76.370003,76.830002,68.980644,6447100
2015-06-04,76.360001,76.830002,75.639999,76.040001,68.271339,8645600
2015-06-05,75.779999,75.989998,75.360001,75.459999,67.750610,6423000
2015-06-08,75.489998,75.809998,75.129997,75.139999,67.463287,6486700
2015-06-09,75.309998,75.400002,74.800003,74.919998,67.265793,6448900
2015-06-10,75.199997,76.339996,75.029999,76.160004,68.379089,6276500
2015-06-11,76.400002,76.620003,76.080002,76.220001,68.432968,5205400
2015-06-12,75.650002,75.970001,75.339996,75.519997,67.804466,5522800
2015-06-15,75.089996,75.699997,74.360001,75.419998,67.714684,5922300
2015-06-16,75.419998,75.750000,75.099998,75.599998,67.876289,3727600
2015-06-17,75.559998,76.019997,75.349998,75.709999,67.975052,4894100
2015-06-18,75.760002,76.940002,75.760002,76.720001,68.881874,4598200
2015-06-19,76.980003,77.250000,76.589996,76.709999,68.872887,7450600
2015-06-22,77.250000,77.440002,76.919998,77.209999,69.321808,3791600
2015-06-23,77.529999,77.570000,76.459999,76.610001,68.783127,5044600
2015-06-24,77.019997,77.019997,75.260002,75.269997,67.580017,4881000
2015-06-25,75.550003,76.489998,75.199997,75.480003,68.112434,5506300
2015-06-26,75.790001,75.889999,74.970001,75.160004,67.823677,5995500
2015-06-29,74.379997,74.790001,73.239998,73.300003,66.145233,5106500
2015-06-30,74.190002,74.669998,73.660004,74.099998,66.867126,7612800
2015-07-01,74.279999,74.709999,73.750000,74.080002,66.849083,5147200
2015-07-02,74.260002,74.349998,73.480003,73.809998,66.605453,4589500
2015-07-06,73.080002,73.980003,72.800003,73.529999,66.352776,6684400
2015-07-07,73.639999,73.800003,72.199997,73.459999,66.289604,7498800
2015-07-08,72.870003,73.540001,72.790001,72.849998,65.739151,5623800
2015-07-09,73.809998,74.199997,73.089996,73.089996,65.955719,7005500
2015-07-10,74.089996,74.459999,73.879997,74.370003,67.110779,6640600
2015-07-13,74.779999,75.480003,74.779999,75.169998,67.832687,5796000
2015-07-14,75.379997,75.910004,75.209999,75.889999,68.482407,5486000
2015-07-15,75.860001,76.160004,75.739998,75.949997,68.536560,4601500
2015-07-16,76.620003,77.050003,76.570000,76.800003,69.303596,4847300
2015-07-17,76.800003,76.959999,76.239998,76.910004,69.402863,4656500
2015-07-20,77.110001,77.150002,76.709999,77.000000,69.484062,3205100
2015-07-21,76.820000,77.139999,76.190002,76.540001,69.068985,3737500
2015-07-22,76.849998,77.110001,76.559998,76.820000,69.321640,4578700
2015-07-23,76.739998,77.180000,76.449997,76.800003,69.303596,3647900
2015-07-24,76.360001,76.620003,75.900002,76.010002,68.590698,3887300
2015-07-27,75.720001,75.959999,75.330002,75.660004,68.274864,4821000
2015-07-28,76.290001,77.510002,75.779999,77.470001,69.908195,4902200
2015-07-29,77.529999,77.940002,77.000000,77.879997,70.278175,4981300
2015-07-30,77.650002,78.410004,77.400002,78.279999,70.639130,3842600
2015-07-31,78.489998,78.900002,78.160004,78.389999,70.738388,5180300
2015-08-03,78.089996,78.480003,77.559998,78.000000,70.386459,4195600
2015-08-04,78.059998,78.199997,77.489998,77.769997,70.178909,2854300
2015-08-05,78.500000,78.910004,78.269997,78.669998,70.991058,3561900
2015-08-06,78.599998,78.800003,77.129997,77.410004,69.854057,4262400
2015-08-07,77.510002,77.680000,76.839996,77.480003,69.917221,3233600
2015-08-10,77.730003,78.239998,77.580002,77.620003,70.043556,3383300
2015-08-11,77.099998,77.629997,76.919998,77.389999,69.835968,4643800
2015-08-12,76.949997,77.400002,76.080002,77.389999,69.835968,4858200
2015-08-13,77.320000,77.809998,76.989998,77.480003,69.917221,2989700
